Data Percentage,Num Images,Epoch,Accuracy
0.5,295,0,10.09
0.5,295,1,17.07
0.5,295,2,31.73
0.5,295,3,53.98
0.5,295,4,70.36
0.5,295,5,76.38
0.5,295,6,78.39
0.5,295,7,79.53
0.5,295,8,82.02
0.5,295,9,82.69
0.5,295,10,82.9
