Epoch,Test Accuracy
0,96.09
1,96.89999999999999
2,97.00999999999999
3,96.96000000000001
4,97.15
5,97.26
6,97.28
7,97.44
8,97.35000000000001
9,97.50999999999999
10,97.50999999999999
