Task Set,Angles Used,Epoch 10 Accuracy
1,[0],92.1
2,"[0, 45]",97.42
3,"[0, 45, 90]",97.7
4,"[0, 45, 90, 135]",97.95
5,"[0, 45, 90, 135, 180]",98.22
6,"[0, 45, 90, 135, 180, 225]",98.34
7,"[0, 45, 90, 135, 180, 225, 270]",98.64
8,"[0, 45, 90, 135, 180, 225, 270, 315]",98.71
